Taxon	False_Positives	Non-Target_Taxa	Reason	F2	F6	F7	G2	G5	G7	J1	J3	J5	J8	K5	Marker
Phryganella				0	0.14427490953656671	0.15674858674722633	0.6990066747738842	0	0.01362305	0.069129733	1.1009555467057281	0	0	0.010268346000821466	18S
Phytophthora				13.112084460262238	0	0.039356521045317484	0.26475493001853284	0	4.994124559199766	0	0	9.601267934807973	1.4516129031466425	1.9853186520595596	COI
Pleuroxus				1.645327942032906	0	0	0	0	0	0	0	0	0	0	COI
Ploesoma				0	0	0	6.4349201444504445	0	0	0.8553011680342119	0	0	0	0	COI
Polyarthra				0	13.532024482089842	6.643872681857554	0.751285093	0	0	91.92731639367709	43.52341889098869	0.6172839509876542	0	0	COI
Poteriochromonas				0	0.006255753	0.075369998	0	0	0	0	0	0	0	0	23S
Poteriospumella				0	0.008743934	0	0.23650601795388798	0	0	0	0.5193186538411175	0	0	0.037650602	18S
Psectrocladius				0	0	0	0.2320903610162463	0	0	0	0	0	0	0	COI
Pseudocyrtolophosis				0	0.008743934	0	0.24701739603982814	0	0	0.030724326	0.29081844643230537	0	0.977802493	0.2567086530205367	18S
Pseudodendromonadales				60.77604999	15.09640187	20.44449421	32.043937564687106	51.16037589	71.85477828	67.00975497635517	19.069380970412052	75.96107447151923	85.37466981914625	22.77176889182174	18S
Pseudodifflugia				0	1.8886897210189713	0	0.5991485779482553	0	0	0	9.223099294106838	0	0	0	18S
Pseudoholophrya				0	0	0	0.13139223208528894	0	0	0.16898379257764187	0	0	0	0	18S
Ptygura				0	19.16670310057072	55.36583999969783	14.048457456041815	0	0	1.2673784468326983	0	0	0	0	18S
Pythium				0	0	0.002459782	0.048137260003369604	0	0	0	0.006615507	0	0	0.15015015000450452	COI
Romeria				0.31419095821277915	0.38696301023107244	15.333226744815159	55.01001278520023	0.946202162	0.6771986709696232	4.816029531077281	2.623364078131353	6.119064143430695	0.4929759742719922	35.326678242675825	23S
Saprolegnia				0	0.011197372174073864	0	0	0.016388069	0	0	0.023154273	0	0	1.6182849520485487	COI
Sphaerastrum				0	0	0	0.4519892787340561	0	0	0.14594054818069768	0	0	0	0	18S
Sphaerellopsis				0	2.042950212918478	0.22839393408905145	0	0	0	0	0.5866346253959321	0	0	0	23S
Staurastrum				0	0	0	0.714773743	0.23882456800238824	0	0.076810815	0	0.060318482001206375	0	0.023959474001916756	18S
Stenostomum				0	0.1705067106332618	0.005598164	22.599463916666014	0	0	0.7988324760946284	0	0	0	0	18S
Stylonychia				0	0.013115901	0.16234675	0.5045461711674359	0.025959192	0.003405763	1.5285352179982703	0.2285002074088121	0	0	0	18S
Sulcospira				0	0	0	0.5381057990376674	0	0	0.016992738000679707	0.16538766840296792	0	0	0	COI
Synchaetomella				0	0	0	0.001719188	0	0	0	0.05953956	0	0	0	COI
Synura				0	2.488002359264048	0	0.037397157	0	0	0	32.75730054218784	0	0	0	23S
Tetraedron				0.044607359	0.042896593	1.4777087525022885	0.199049389	0.019768706	0.080077507	0.3771029466336702	0.7103226494595121	0.35171091498208873	0.004706214	0.076348991	23S
Tetrahymena				0.13370149700668507	0.039347702145720316	0.061579802	0.16818205738975847	0.083069415	0.10557863900422314	0.15362162997973028	0	0.020106161000402124	0.018536539999814635	0.003422782	18S
Teuthophrys				0	19.206050806721862	0.9740805017101241	0	0	0.003405763	0	0	0.032169857	0	0.1677163200134173	18S
Tremula				0	0.20985441378033745	0.005598164	0.021022757	0.1090286070010903	0	0	0.10386373036639548	0	0.018536539999814635	0.082146769	18S
Uroleptus				0	0	0	0.010511378	0	0	0.023043244	0	0	0	0	18S
Urotricha				0	0.5290080002989375	0.24631920702927637	0.19971619264941842	0	0	0.5299946231300234	0	0	0	0	18S
Vampyrella				0	0	0.078374293	0.9723025170304023	0	0	1.5208541361992378	0.2700456997562843	0	0	0	18S
Vernalophrys				0	0	0	0	6.354810238063548	0.003405763	0	0	2.8068200100561365	0.9129246029908709	0.20878970401670316	18S
Vischeria				0	0.1161782712119887	0.288918326	4.091972880753035	0	0	0.28946634676915994	0.33925857857366915	0	0	0	23S
Vorticella				0	0	0.9180988636577512	3.2953171812200024	0	0	0.8141946386925398	25.176568344485894	0.004021232	0	1.2938116101035047	18S
Zooxanthella				0	0.008743934	0	0.2102275717371981	0	0	0	0	0	0	0	18S
