Taxon	False_Positives	Non-Target_Taxa	Reason	F2	F6	F7	G2	G5	G7	J1	J3	J5	J8	K5	Mean
Pezizomycetes	Yes		Marine only	0.073023	0.041378	0.027676	0.047115	0.103728	0.077347	0.029836	0.036104	0.100075	0.096298	0.091245	0.062753
Crinoidea	Yes		Marine only	0.03445	0.171888	0.069551	0.071032	0.06371	0.048207	0.086959	0.053944	0.051847	0.040305	0.028805	0.068039
Zoopagomycetes				0.068644	0.024849	0.025589	0.056003	0.137437	0.072206	0.035517	0.03528	0.107689	0.066899	0.086179	0.064939
Ichthyosporea				0.068205	0.032822	0.037352	0.058063	0.083783	0.06692	0.050458	0.050638	0.114314	0.063937	0.084405	0.064696
Chloropicophyceae	Yes		Marine only	0.072724	0.054806	0.013986	0.043142	0.074305	0.065576	0.024593	0.028359	0.100872	0.092999	0.138597	0.061696
Marchantiopsida		Yes	Would not be present in the artificial ponds	0.087512	0.041277	0.026117	0.066985	0.089712	0.084613	0.032992	0.033926	0.116845	0.07037	0.058686	0.063867
Clostridia		Yes	Non Eukaryote	0.094773	0.035981	0.03067	0.05322	0.073317	0.065649	0.068163	0.032971	0.086627	0.0813	0.069921	0.061129
Endogonomycetes		Yes	Terrestrial only	0.080343	0.028937	0.02068	0.050799	0.093594	0.078539	0.036245	0.033963	0.112516	0.096352	0.053842	0.058946
Exobasidiomycetes		Yes	Terrestrial only	0.063314	0.030071	0.026382	0.052086	0.109591	0.071467	0.037059	0.030012	0.107645	0.089696	0.048712	0.057634
Colpodea				0.028788	0.067809	0.066739	0.116572	0.089597	0.042848	0.027331	0.036408	0.09996	0.066507	0.019512	0.059556
Eutardigrada				0.035909	0.06207	0.082309	0.086861	0.060091	0.045308	0.072848	0.057741	0.071044	0.038959	0.048906	0.062309
Holothuroidea	Yes		Marine only	0.041547	0.050486	0.0735	0.075691	0.062688	0.038672	0.069197	0.060745	0.058722	0.049168	0.039136	0.057038
Chrysophyceae				0.037368	0.051393	0	0.30951	0	0.014985	0.017734	0.05138	0.058976	0.064055	0	0.054135
Deinococci		Yes	Non Eukaryote	0.076752	0	0	0.071926	0.102103	0.085914	0	0.020113	0.095898	0.078332	0.069904	0.052261
Priapulimorpha	Yes		Marine only	0.033408	0.060535	0.087407	0.074142	0.055109	0.035192	0.08164	0.064458	0.037724	0.034565	0.02368	0.05533
Ustilaginomycetes		Yes	Terrestrial only	0.047322	0.039119	0.022314	0.048327	0.07785	0.050264	0.031748	0.02771	0.109991	0.071619	0.041671	0.049632
Pycnogonida	Yes		Marine only	0.030345	0.052033	0.071671	0.063839	0.065361	0.027618	0.080469	0.05379	0.039932	0.029915	0.044307	0.052937
Catenulida				0	0	0	0.552752	0	0	0	0	0	0	0	0.055275
Monoblepharidomycetes				0.068262	0.025128	0.015313	0.042972	0.08513	0.065925	0.02981	0.024165	0.083639	0.057586	0.05046	0.04908
Euglenida				0.062501	0.032854	0.032833	0.110375	0.043738	0.100784	0.023766	0.034971	0.048138	0.021006	0.028669	0.051863
Lycopodiopsida		Yes	Terrestrial only	0.048056	0.032753	0.021886	0.051217	0.056582	0.046124	0.05757	0.024655	0.091616	0.053207	0.038513	0.046897
Sphagnopsida		Yes	Terrestrial only	0.102853	0.027296	0	0.026213	0.064641	0.071805	0.014954	0.016972	0.070985	0.050308	0.063974	0.045969
Pucciniomycetes				0.042643	0.047315	0.0212	0.036695	0.079259	0.040467	0.020894	0.022667	0.081976	0.070762	0.041465	0.043458
Umbelopsidomycetes		Yes	Terrestrial only	0.056365	0.026594	0.018662	0.043963	0.062931	0.059987	0.032975	0.025296	0.078184	0.059845	0.038671	0.044363
Kickxellomycetes		Yes	Terrestrial only	0.063934	0.01673	0.012267	0.03165	0.109138	0.061321	0.022759	0.019364	0.070056	0.048526	0.034151	0.044137
Bacteroidia		Yes	Non Eukaryote	0.033067	0.02362	0.054571	0.058836	0.036644	0.048728	0.041309	0.023684	0.053611	0.047648	0.034216	0.040829
Elardia				0.046016	0.025343	0.024862	0.071657	0.129527	0.03781	0	0.021432	0.044615	0.017984	0.035154	0.043642
Hyperoartia		Yes	Would not be present in the artificial ponds	0.02754	0.033939	0.053979	0.049159	0.046249	0.0328	0.03935	0.032425	0.041783	0.030494	0.030869	0.038809
Planctomycetia		Yes	Non Eukaryote	0.054745	0.016851	0	0.022216	0.035301	0.04467	0.022865	0.01842	0.054933	0.071981	0.056598	0.03266
Olpidiomycetes				0.048672	0.019184	0	0.031184	0.056984	0.042965	0.020403	0.024158	0.063942	0.0413	0.042135	0.034963
Monogenea				0.01787	0.033487	0.037921	0.056264	0.055247	0.01751	0.042233	0.034119	0.046056	0.022634	0.017565	0.035827
Sphingobacteriia		Yes	Non Eukaryote	0.02562	0.024078	0.016258	0.039754	0.040974	0.036632	0.023925	0.024622	0.06103	0.059929	0.02706	0.031995
Malasseziomycetes		Yes	Terrestrial only	0.046767	0.015141	0.013775	0.022347	0.044433	0.044403	0.01807	0.015887	0.062011	0.04374	0.029998	0.031283
Chitinophagia		Yes	Non Eukaryote	0.023642	0.022493	0.024045	0.035541	0.03674	0.037123	0.021026	0.024245	0.052338	0.049663	0.017908	0.02951
Verrucomicrobiae		Yes	Non Eukaryote	0.05471	0.017274	0	0.052701	0.024981	0.039414	0	0.021947	0.050836	0.058418	0.016174	0.027804
Orbiliomycetes		Yes	Terrestrial only	0.037986	0.016631	0	0.025616	0.043894	0.034933	0.021156	0.016737	0.060778	0.039394	0.037077	0.029481
Myxozoa				0.03741	0.03107	0.018603	0.024448	0.031055	0.032105	0.021387	0.015259	0.049751	0.017679	0.046107	0.03072
Dacrymycetes		Yes	Terrestrial only	0.070051	0	0	0	0.052235	0.053692	0	0.013919	0.045435	0.051479	0.036864	0.02722
Schizosaccharomycetes		Yes	Terrestrial only	0.027267	0.022595	0	0.027491	0.065511	0.02905	0.020024	0.017529	0.055658	0.031133	0.02129	0.028642
Pneumocystidomycetes		Yes	Terrestrial only	0.020354	0.023124	0.013057	0.026504	0.052328	0.031982	0.020051	0.016626	0.052888	0.035907	0.022854	0.027977
Raphidophyceae				0	0.088691	0	0.085467	0	0	0	0.136748	0	0	0	0.031091
Glaucocystophyceae				0.057923	0	0	0.014421	0.045499	0.043751	0	0.015275	0.053688	0.026027	0.054139	0.02847
Calcarea	Yes		Marine only	0.024022	0	0.012505	0.016703	0.112681	0.022848	0.036309	0	0.028739	0.019241	0.019873	0.027368
Pilidiophora				0.032196	0.016554	0.027756	0.023425	0.02331	0.025275	0.025247	0	0.023764	0.016811	0.023313	0.022084
Cladistia		Yes	Would not be present in the artificial ponds	0	0.024411	0.02832	0.027091	0.030847	0	0.036472	0.025752	0.019031	0.035919	0	0.019192
Chlorarachniophyceae	Yes		Marine only	0	0	0	0.020062	0.071039	0.059194	0	0.017644	0.043261	0	0.014652	0.022585
Dimargaritomycetes				0.031831	0	0	0.018712	0.047224	0.03007	0	0	0.039306	0.036284	0.021005	0.018815
Lecanoromycetes				0.021925	0.015746	0	0.029887	0.02908	0.020868	0	0	0.041108	0.022372	0.01598	0.017459
Wallemiomycetes				0.028047	0.015758	0	0.017671	0.045651	0.024143	0	0	0.029046	0.019796	0.014688	0.0175
Taphrinomycetes				0.018799	0	0.014082	0.016315	0.028676	0.021986	0	0	0.03001	0.022951	0	0.012987
Thecofilosea				0	0.019701	0	0.026524	0	0.019714	0	0.025927	0.018737	0	0	0.01106
Craniata <brachiopods>	Yes		Marine only	0.021608	0	0.027672	0.022287	0.022805	0	0	0	0	0	0.015932	0.01103
Flabellinia	Yes		Marine only	0	0	0	0.059998	0.021675	0	0	0	0.016954	0	0	0.009863
Opitutae		Yes	Non Eukaryote	0	0	0	0	0.024586	0.019698	0	0	0.021185	0.023627	0	0.006547
Diplopoda				0	0.017924	0.022334	0.02418	0	0	0.024434	0	0	0	0	0.008887
Acidobacteriia		Yes	Non Eukaryote	0	0	0	0	0	0.015721	0	0	0.032669	0.035847	0	0.004839
Anaerolineae		Yes	Non Eukaryote	0	0	0	0	0.015981	0.025458	0	0	0.017772	0.019899	0	0.005921
Spirochaetia		Yes	Non Eukaryote	0	0	0	0	0.015606	0.02051	0	0	0.023043	0.017981	0	0.005916
Epsilonproteobacteria		Yes	Non Eukaryote	0	0	0	0.01469	0.017429	0	0	0	0.018772	0.024079	0	0.005089
Atractiellomycetes				0	0	0	0	0.033219	0.015265	0	0	0.022872	0	0	0.007136
Chilopoda	Yes		Marine only	0	0.015069	0.024899	0	0	0	0	0.022428	0	0	0	0.00624
Sagittoidea	Yes		Marine only	0	0	0	0.017325	0.017627	0	0.015321	0	0	0	0	0.005027
Polyplacophora	Yes		Marine only	0	0	0.017868	0.019093	0	0	0	0.012906	0	0	0	0.004987
Phycisphaerae		Yes	Non Eukaryote	0	0	0	0	0	0.014311	0	0	0.016388	0.017079	0	0.00307
Zygnemophyceae				0	0	0	0.030002	0.017502	0	0	0	0	0	0	0.00475
Synurophyceae				0	0	0	0.02421	0	0	0	0.020064	0	0	0	0.004427
Pisoniviricetes		Yes	Non Eukaryote	0	0	0	0.019594	0	0	0	0	0	0	0.022234	0.004183
Phyllopharyngea				0	0.016873	0	0	0	0	0	0	0	0	0.014963	0.003184
Armophorea				0	0.01521	0	0	0.014528	0	0	0	0	0	0	0.002974
Oligoflexia		Yes	Non Eukaryote	0	0	0	0	0	0.017619	0	0	0	0	0	0.001762
Neolectomycetes		Yes	Terrestrial only	0	0	0	0	0.016858	0	0	0	0	0	0	0.001686
Nassophorea				0	0	0	0.016069	0	0	0	0	0	0	0	0.001607
Tentaculata	Yes		Marine only	0	0	0	0	0	0	0.015799	0	0	0	0	0.00158
Actinophryidae				0	0	0	0.015794	0	0	0	0	0	0	0	0.001579
Halobacteria		Yes	Non Eukaryote	0.015349	0	0	0	0	0	0	0	0	0	0	0.001535
